IPs,againsts,buildLevels,commentIds,contents,createTimes,favCounts,isDels,is_anonymous,shareCounts,siteNames,sources,user_IDs,user_locations,votes
106.118.*.*,0,1,330806637,电话,2018-11-18 10:00:17,0,False,False,0,网易,ph,171245,河北省张家口,0
106.118.*.*,0,1,330807618,hi,2018-11-18 10:00:14,0,False,False,0,网易,ph,171245,河北省张家口,0
106.118.*.*,0,1,330808198,估计,2018-11-18 10:00:11,0,False,False,0,网易,ph,171245,河北省张家口,0
106.118.*.*,0,1,330807604,恶化,2018-11-18 10:00:08,0,False,False,0,网易,ph,171245,河北省张家口,0
120.194.*.*,0,3,330805954,道亦有道,2018-11-18 10:00:02,0,False,True,0,网易,ph,0,河南省濮阳,9
106.118.*.*,0,1,330808182,如果,2018-11-18 10:00:01,0,False,False,0,网易,ph,171245,河北省张家口,0
223.66.*.*,0,1,330806523,怎么下得了手,2018-11-18 09:59:34,0,False,False,0,网易,ph,266485504,江苏省常州,0
119.137.*.*,0,3,330806511,杀杀,2018-11-18 09:59:28,0,False,False,0,网易,ph,64301944,广东省深圳市,0
125.85.*.*,0,1,330807397,经期太危险了关掉！,2018-11-18 09:58:54,0,False,True,0,网易,ph,0,重庆市,0
106.109.*.*,0,3,330807383,所以是小米，他自己就是自己所说的要被管理的人，却不知为什么会造成这种结果,2018-11-18 09:58:49,0,False,False,0,网易,ph,60056952,贵州省,2
27.18.*.*,0,1,330803972,啊啊啊啊,2018-11-18 09:58:38,0,False,False,0,网易,ph,84293519,湖北省武汉市,0
221.219.*.*,0,1,330799576,为警方的破案效率点赞！,2018-11-18 09:48:10,0,False,True,0,网易,ph,0,北京市,0
124.227.*.*,0,2,330806305,到处都是天网工程，人脸识别，跑不掉的,2018-11-18 09:58:13,0,False,True,0,网易,ph,0,广西壮族自治区南宁,2
218.30.*.*,0,1,330805580,是滴滴司机吗？,2018-11-18 09:57:57,0,False,True,0,网易,ph,0,北京市,0
121.236.*.*,0,8,330805533,我艹，这样你都能骂国人，貌似老外更喜欢特立独行吧，这样的事情国外也有吧,2018-11-18 09:57:41,0,False,True,0,网易,ph,0,江苏省苏州市,0
211.162.*.*,0,1,330803877,不教育未深入接触过社会的学生以安全、自保知识，而灌以粉饰太平，目的何在？,2018-11-18 09:57:35,0,False,False,0,网易,wb,62528443,广东省肇庆,1
58.40.*.*,0,2,330805452,对的,2018-11-18 09:57:11,0,False,False,0,网易,ph,52328260,上海市青浦区,0
39.174.*.*,0,1,330806098,建议恢复凌迟，震慑变态犯罪！,2018-11-18 09:57:03,0,False,False,0,网易,ph,48020873,浙江省杭州,0
223.104.*.*,0,1,330803798,杭州抓狗弄的挺好的呀,2018-11-18 09:56:56,0,False,False,0,网易,ph,96849942,山东省青岛市,0
